"Velocity_field,_x_component","Velocity_field,_y_component","Pressure","Points:0","Points:1","Points:2"
0.03924,0.013111,0.0036471,10,1.9398,0
0.022255,0.0059131,0.0073879,10,1.9704,0
0.030762,0.0019865,0.0020632,9.9495,1.9446,0
0.032935,-0.011774,0.004174,10,1.0576,0
0.026611,-0.0022859,0.0021628,9.9439,1.0584,0
0.019482,-0.0055252,0.0071865,10,1.0292,0
0.065841,0.017658,0.00069282,10,1.8868,0
0.056953,0.00081089,0.00088544,9.9312,1.8981,0
0.052766,-0.017123,0.0015829,10,1.1046,0
0.048436,-0.0024035,0.0011977,9.9255,1.1067,0
0.10633,0.015424,-0.00059019,10,1.7899,0
0.093471,0.00087781,9.9594e-05,9.9256,1.8245,0
0.086086,-0.020764,0.00017671,10,1.1926,0
0.079585,-0.004456,0.00046071,9.9199,1.1812,0
0.13538,0.0085682,-0.00073041,10,1.693,0
0.13236,-0.0018718,-5.5894e-05,9.9108,1.7132,0
0.15201,-0.0047501,0.00010457,9.8982,1.5818,0
0.15186,-0.0051463,-0.00025559,10,1.5199,0
0.14522,-0.0052222,0.00014398,9.8935,1.4283,0
0.13047,-0.016026,-0.000257,10,1.3468,0
0.11411,-0.0056463,3.5912e-05,9.9164,1.2838,0
0,0,-0.022318,9.0189,1,0
0.0064749,0.00068169,-0.02132,9.0189,1.0055,0
0,0,0.0064875,9,1,0
0,0,0.039671,9,0.98111,0
0.00073522,0.0093557,0.038707,8.9944,0.98111,0
0,0,0.035954,7.7312,1,0
0.0066322,0.00040196,0.035401,7.7312,0.99466,0
0,0,0.014968,7.75,1,0
0,0,-0.0003548,7.75,1.0189,0
0.00040886,0.0025905,0.00029067,7.7554,1.0189,0
0,0,0.0657,6.75,1.0189,0
0.0007599,-0.011114,0.064736,6.7443,1.0189,0
0,0,0.030305,6.75,1,0
0,0,0.00096866,6.7688,1,0
0.006171,-0.00077141,0.0020651,6.7688,0.9944,0
0,0,-0.011997,5.5,1.4818,0
0.00090352,-0.0033444,-0.010459,5.5051,1.4818,0
0,0,0.023781,5.5,1.5,0
0,0,0.075716,5.4812,1.5,0
0.02063,-0.00090853,0.074559,5.4812,1.5054,0
0,0,0.23648,4.5,1.4818,0
0,0,0.15457,4.5,1.5,0
0.0016264,0.019319,0.23422,4.4947,1.4818,0
0,0,0.083634,4.5188,1.5,0
0.016989,0.0014072,0.085779,4.5188,1.5052,0
0,0,0.23311,3.2312,1,0
0.0069752,0.00043055,0.23251,3.2312,0.99467,0
0,0,0.21065,3.25,1,0
0,0,0.19384,3.25,1.0189,0
0.00044805,0.0030738,0.19453,3.2554,1.0189,0
0,0,0.26507,2.25,1.0189,0
0.00071924,-0.0093614,0.26411,2.2444,1.0189,0
0,0,0.2316,2.25,1,0
0,0,0.20238,2.2688,1,0
0.0067053,-0.00073349,0.20341,2.2688,0.99443,0
0,0,0.22402,1,0.98111,0
0.00043991,-0.0025256,0.22468,1.0055,0.98113,0
0,0,0.24003,1,1,0
0,0,0.26033,0.98111,1,0
0.0073864,-0.00044003,0.25977,0.98111,1.0057,0
0.1,0,0.2918,0,1.9393,0
0.099552,-0.028704,0.28715,0.056332,1.9439,0
0.1,0,0.32461,0,1.9706,0
0.1,0,0.27702,0,1.8877,0
0.10555,-0.032936,0.27795,0.072145,1.899,0
0.1,0,0.26974,0,1.7965,0
0.10619,-0.027265,0.2715,0.08355,1.8266,0
0.1,0,0.2662,0,1.6813,0
0.10506,-0.016846,0.26746,0.092366,1.718,0
0.10414,-0.0074027,0.26554,0.10843,1.5878,0
0.1,0,0.26491,0,1.4996,0
0.10401,0.0056978,0.26544,0.10364,1.4105,0
0.1,0,0.266,0,1.3178,0
0.1,0,0.2687,0,1.2186,0
0.10539,0.016646,0.26738,0.090706,1.2729,0
0.1,0,0.27573,0,1.1194,0
0.10596,0.025603,0.27088,0.080275,1.1814,0
0.1,0,0.28983,0,1.0602,0
0.10553,0.032593,0.27703,0.070238,1.1041,0
0.1,0,0.32232,0,1.029,0
0.10032,0.029411,0.28586,0.056304,1.0604,0
0.03513,-0.0011546,0.0022068,9.8937,1.9372,0
0.014423,-0.00042925,0.0015111,9.9297,1.9704,0
0.017639,-0.00063952,0.0023925,9.8594,1.9694,0
0.011356,0.00015472,0.0018325,9.9293,1.0292,0
0.025858,0.00011574,0.002414,9.902,1.0586,0
0.013207,0.00035878,0.0025916,9.8586,1.0301,0
0.037687,-0.0013969,0.0021441,9.8297,1.9351,0
0.019402,-0.00023034,0.0022442,9.7891,1.9683,0
0.040775,-0.00094949,0.0027869,9.7634,1.933,0
0.021101,-0.00025919,0.0033466,9.7188,1.9675,0
0.056876,-0.0023165,0.0019275,9.8572,1.8993,0
0.039379,-0.00067732,0.0037097,9.698,1.9378,0
0.022189,-0.00014179,0.0043518,9.6485,1.9669,0
0.040854,-0.00044288,0.0048287,9.6246,1.9372,0
0.023113,-0.00012756,0.0056186,9.5781,1.9663,0
0.026279,0.00050671,0.0020749,9.8333,1.0597,0
0.013799,1.0429e-05,0.0019911,9.7878,1.031,0
0.043607,0.00032982,0.0019256,9.8633,1.0984,0
0.029689,0.00010163,0.0022314,9.7608,1.0666,0
0.014444,4.3516e-05,0.0025216,9.7171,1.0317,0
0.029557,-7.7441e-05,0.0026034,9.6879,1.0664,0
0.014462,-7.274e-05,0.002813,9.6464,1.0321,0
0.06427,-0.0025536,0.0023864,9.8033,1.8877,0
0.067956,-0.0020221,0.0032294,9.7331,1.8843,0
